[2025-07-29T10:25:42.139+0000] {logging_mixin.py:188} INFO - Scraping Page 20 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:25:50.969+0000] {logging_mixin.py:188} INFO - Scraping Page 21 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:25:59.867+0000] {logging_mixin.py:188} INFO - Scraping Page 22 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:26:08.738+0000] {logging_mixin.py:188} INFO - Scraping Page 23 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:26:17.627+0000] {logging_mixin.py:188} INFO - Scraping Page 24 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:26:26.446+0000] {logging_mixin.py:188} INFO - Scraping Page 25 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:26:35.388+0000] {logging_mixin.py:188} INFO - Scraping Page 26 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:26:44.239+0000] {logging_mixin.py:188} INFO - Scraping Page 27 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:26:53.184+0000] {logging_mixin.py:188} INFO - Scraping Page 28 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:27:02.028+0000] {logging_mixin.py:188} INFO - Scraping Page 29 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:27:10.933+0000] {logging_mixin.py:188} INFO - Scraping Page 30 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:27:19.895+0000] {logging_mixin.py:188} INFO - Scraping Page 31 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:27:28.724+0000] {logging_mixin.py:188} INFO - Scraping Page 32 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:27:37.637+0000] {logging_mixin.py:188} INFO - Scraping Page 33 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
