[2025-07-29T20:39:06.785+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-29T20:39:07.577+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.887+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.888+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-07-29T20:39:08.248+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): process_urls_sequentially> on 2025-07-29 20:38:00.592017+00:00
[2025-07-29T20:39:08.265+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=376) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-29T20:40:32.894+0000] {logging_mixin.py:188} INFO - Scraping Page 22 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:35.727+0000] {logging_mixin.py:188} INFO - Scraping Page 23 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:38.473+0000] {logging_mixin.py:188} INFO - Scraping Page 24 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:41.316+0000] {logging_mixin.py:188} INFO - Scraping Page 25 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:44.059+0000] {logging_mixin.py:188} INFO - Scraping Page 26 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:46.834+0000] {logging_mixin.py:188} INFO - Scraping Page 27 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:49.594+0000] {logging_mixin.py:188} INFO - Scraping Page 28 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:52.443+0000] {logging_mixin.py:188} INFO - Scraping Page 29 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:55.189+0000] {logging_mixin.py:188} INFO - Scraping Page 30 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:57.990+0000] {logging_mixin.py:188} INFO - Scraping Page 31 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:00.768+0000] {logging_mixin.py:188} INFO - Scraping Page 32 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:03.482+0000] {logging_mixin.py:188} INFO - Scraping Page 33 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:06.842+0000] {logging_mixin.py:188} INFO - Scraping Page 34 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:09.667+0000] {logging_mixin.py:188} INFO - Scraping Page 35 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:12.412+0000] {logging_mixin.py:188} INFO - Scraping Page 36 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:15.152+0000] {logging_mixin.py:188} INFO - Scraping Page 37 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:17.915+0000] {logging_mixin.py:188} INFO - Scraping Page 38 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:20.635+0000] {logging_mixin.py:188} INFO - Scraping Page 39 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:23.441+0000] {logging_mixin.py:188} INFO - Scraping Page 40 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:26.220+0000] {logging_mixin.py:188} INFO - Scraping Page 41 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:28.964+0000] {logging_mixin.py:188} INFO - Scraping Page 42 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:31.684+0000] {logging_mixin.py:188} INFO - Scraping Page 43 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:34.462+0000] {logging_mixin.py:188} INFO - Scraping Page 44 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:37.212+0000] {logging_mixin.py:188} INFO - Scraping Page 45 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:40.034+0000] {logging_mixin.py:188} INFO - Scraping Page 46 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:42.879+0000] {logging_mixin.py:188} INFO - Scraping Page 47 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:45.626+0000] {logging_mixin.py:188} INFO - Scraping Page 48 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:48.361+0000] {logging_mixin.py:188} INFO - Scraping Page 49 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:51.105+0000] {logging_mixin.py:188} INFO - Scraping Page 50 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:53.864+0000] {logging_mixin.py:188} INFO - Scraping Page 51 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:56.631+0000] {logging_mixin.py:188} INFO - Scraping Page 52 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:41:59.404+0000] {logging_mixin.py:188} INFO - Scraping Page 53 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:02.146+0000] {logging_mixin.py:188} INFO - Scraping Page 54 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:05.084+0000] {logging_mixin.py:188} INFO - Scraping Page 55 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:07.842+0000] {logging_mixin.py:188} INFO - Scraping Page 56 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:42:10.564+0000] {logging_mixin.py:188} INFO - Scraping Page 57 for Apple iPhone 12 (Blue, 128 GB)...
